stitch_id_flat,drug_name
CID100004870,polythiazide
CID100441382,natamycin
CID100003958,lorazepam
CID100102258,rasburicase
CID100156326,asenapine
CID101349907,methimazole
CID100003494,glycopyrrolate
CID100004192,midazolam
CID100038904,carboplatin
CID100012453,zuclopenthixol
CID100003203,efavirenz
CID100003372,fluphenazine
CID100005073,risperidone
CID100000137,5-aminolevulinic
CID100000160,prostaglandin
CID100005040,rapamycin
CID100005318,sulconazole
CID100065999,telmisartan
CID100005593,tropicamide
CID100003872,lactulose
CID100005333,sulfonamide
CID100083030,ge-132
CID100002909,v
CID100003261,estazolam
CID100004748,perphenazine
CID100004044,mefenamic
CID100003255,erythromycin
CID116129682,forteo
CID100047319,atracurium
CID100003823,ketoconazole
CID100005503,tolazamide
CID100003249,vitamin
CID103052762,prucalopride
CID100005291,imatinib
CID100036339,etomidate
CID100110635,tadalafil
CID100003365,fluconazole
CID100003154,dorzolamide
CID100000581,n-acetylcysteine
CID100004834,piperacillin
CID100000948,nitrous
CID100002244,aspirin
CID100001130,thiamine
CID100003826,ketorolac
CID100002905,cyclopentolate
CID100002345,benzyl
CID100004173,metronidazole
CID100004736,pentazocine
CID100002022,acyclovir
CID100008612,chloroprocaine
CID100003696,imipramine
CID100003387,fluoxymesterone
CID100005487,tizanidine
CID100004603,oseltamivir
CID100054688,clarithromycin
CID100004051,meloxicam
CID100003690,ifosfamide
CID100039524,stiripentol
CID100004725,penciclovir
CID100005726,zidovudine
CID100004946,propranolol
CID100004999,quazepam
CID100132804,pitavastatin
CID100004062,mepivacaine
CID100001690,doxorubicin
CID100005203,sertraline
CID100002161,amlexanox
CID100008230,argenine
CID100003454,ganciclovir
CID100041684,nitazoxanide
CID100003305,etidronate
CID100157920,lubiprostone
CID100004064,meprobamate
CID100005721,zanamivir
CID100002720,thiazide
CID100657298,propylthiouracil
CID100010340,sodium
CID100002266,azelaic
CID100077992,frovatriptan
CID100060751,mthpc
CID100004747,propericiazine
CID100004638,oxymetholone
CID100147912,posaconazole
CID100358641,trimethoprim-sulfamethoxazole
CID100003168,droperidol
CID100003661,atropine
CID100005524,tramazoline
CID100004917,prochlorperazine
CID100072466,bleomycin
CID100002476,buprenorphine
CID100005078,rizatriptan
CID100036523,gonadorelin
CID100115237,paliperidone
CID100005035,raloxifene
CID100005526,tranexamic
CID100005411,tetracaine
CID100000679,dmso
CID100002646,cefprozil
CID100003114,disopyramide
CID100003385,5-fu
CID100004174,metyrapone
CID100005195,deprenyl
CID116129629,ly146032
CID100071616,voriconazole
