C,threshold,mean_micro_F1,std_micro_F1
0.01,0.3,0.2023,0.0113
0.01,0.35,0.203,0.0114
0.01,0.4,0.2073,0.0117
0.01,0.45,0.2369,0.0142
0.01,0.5,0.4027,0.0105
0.01,0.55,0.1214,0.0075
0.01,0.6,0.0334,0.0042
0.01,0.65,0.014,0.002
0.05,0.3,0.2227,0.0138
0.05,0.35,0.2449,0.015
0.05,0.4,0.2886,0.0162
0.05,0.45,0.3526,0.016
0.05,0.5,0.3859,0.0125
0.05,0.55,0.3306,0.0047
0.05,0.6,0.2213,0.0083
0.05,0.65,0.1277,0.0055
0.1,0.3,0.2565,0.0148
0.1,0.35,0.2907,0.0154
0.1,0.4,0.3324,0.015
0.1,0.45,0.3697,0.0142
0.1,0.5,0.3839,0.0103
0.1,0.55,0.3604,0.006
0.1,0.6,0.303,0.0085
0.1,0.65,0.2218,0.0104
0.5,0.3,0.3477,0.0166
0.5,0.35,0.368,0.0163
0.5,0.4,0.3858,0.0158
0.5,0.45,0.3989,0.0149
0.5,0.5,0.4051,0.0125
0.5,0.55,0.4023,0.0103
0.5,0.6,0.3892,0.0083
0.5,0.65,0.3652,0.0109
1.0,0.3,0.3686,0.0167
1.0,0.35,0.3842,0.0162
1.0,0.4,0.3972,0.0158
1.0,0.45,0.406,0.0146
1.0,0.5,0.41,0.0134
1.0,0.55,0.4086,0.0113
1.0,0.6,0.4007,0.0095
1.0,0.65,0.3842,0.0096
5.0,0.3,0.4025,0.016
5.0,0.35,0.4099,0.0154
5.0,0.4,0.4155,0.0138
5.0,0.45,0.4191,0.0132
5.0,0.5,0.4196,0.0129
5.0,0.55,0.4183,0.0119
5.0,0.6,0.4128,0.0106
5.0,0.65,0.4046,0.0103
10.0,0.3,0.409,0.0157
10.0,0.35,0.414,0.0149
10.0,0.4,0.4171,0.0138
10.0,0.45,0.4189,0.0135
10.0,0.5,0.4194,0.0128
10.0,0.55,0.4168,0.0122
10.0,0.6,0.4127,0.0113
10.0,0.65,0.4056,0.0111
